0.005,197.2
0.01,131.2
0.015,130.6
0.02,130.0
0.025,130.2
0.03,130.0
0.035,131.0
0.04,130.6
0.045,130.6
0.05,130.1
0.055,130.8
0.06,130.5
0.065,130.3
0.07,130.6
0.075,130.1
0.08,129.9
0.085,206.7
0.09,206.9
0.095,205.8
0.1,207.1
0.105,206.8
0.11,205.4
0.115,210.8
0.12,211.7
0.125,211.4
0.13,211.0
0.135,208.3
0.14,211.0
0.145,210.6
0.15,241.7
0.155,216.1
0.16,212.1
0.165,208.9
0.17,208.2
0.175,210.7
0.18,209.9
0.185,208.3
0.19,208.3
0.195,209.0
0.2,209.8
0.205,208.8
0.21,210.6
0.215,206.8
0.22,207.5
0.225,209.7
0.23,207.8
0.235,208.7
0.24,209.5
0.245,207.2
0.25,207.8
